_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,ERREFORTZU/REFUERZO,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ERREFORTZUAK EGUNEAN/REFUERZOS AL DIA,ERREFORTZUAK GUZTIRA/TOTAL REFUERZOS,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
117,2025,2025-10-25 08:05:32,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,1,Laborable,91,1,91,1,91,0,0
118,2025,2025-10-25 08:05:32,A3527,BILBAO - MUNGIA - BERMEO (Autopista),1,Laborable,166,9,1494,3,498,6,996
119,2025,2025-10-25 08:05:32,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Lunes a Jueves,91,1,91,1,91,0,0
120,2025,2025-10-25 08:05:32,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Viernes,21,1,21,1,21,0,0
121,2025,2025-10-25 08:05:32,A3916,BILBAO - ERMUA - ONDARROA (Autopista),1,Laborable,145,1,145,0,0,1,145
122,2025,2025-10-25 08:05:32,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Lunes a Jueves,116,2,232,2,232,0,0
123,2025,2025-10-25 08:05:32,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Laborable,145,2,290,1,145,1,145
124,2025,2025-10-25 08:05:32,A3923,BILBAO - DURANGO - ELORRIO (Autopista),2,Laborable,21,2,42,1,21,1,21
125,2025,2025-10-25 08:05:32,A3924,ERMUA - DURANGO - UPV/EHU,1,Laborable,74,5,370,3,222,2,148
126,2025,2025-10-25 08:05:32,A3924,ERMUA - DURANGO - UPV/EHU,2,Laborable,17,5,85,3,51,2,34
127,2025,2025-10-25 08:05:32,A3930,BILBAO - GALDAKAO (Autopista),1,Lunes a Jueves,122,1,122,0,0,1,122
128,2025,2025-10-25 08:05:32,A3932,GALDAKAO - Metro Bolueta,1,Laborable,166,2,332,2,332,0,0
129,2025,2025-10-25 08:05:32,A3933,BILBAO - DURANGO (Autopista),1,Laborable,123,2,246,0,0,2,246
130,2025,2025-10-25 08:05:32,A3933,BILBAO - DURANGO (Autopista),1,Viernes,31,1,31,1,31,0,0
131,2025,2025-10-25 08:05:32,A3933,BILBAO - DURANGO (Autopista),2,Laborable,12,1,12,0,0,1,12
