_id,EKITALDIA/EJERCICIO,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
82,2025,A3115,BILBAO - SANTURTZI,Bakarra,Festivo,63,54,3402,27,1701,27,1701
83,2025,A3115,BILBAO - SANTURTZI,Bakarra,Laborable,248,104,25792,52,12896,52,12896
84,2025,A3115,BILBAO - SANTURTZI,Bakarra,Sabado,50,104,5200,52,2600,52,2600
85,2025,A3115,BILBAO - SANTURTZI,Gabonak (24-31),Laborable,2,88,176,44,88,44,88
86,2025,A3115,BILBAO - SANTURTZI,Gabonak (25 -1),Festivo,2,40,80,20,40,20,40
87,2025,A3122,BILBAO - SESTAO - Errepelega/Repelega,Bakarra,Festivo,63,32,2016,16,1008,16,1008
88,2025,A3122,BILBAO - SESTAO - Errepelega/Repelega,Bakarra,Laborable,248,34,8432,17,4216,17,4216
89,2025,A3122,BILBAO - SESTAO - Errepelega/Repelega,Bakarra,Sabado,50,34,1700,17,850,17,850
90,2025,A3122,BILBAO - SESTAO - Errepelega/Repelega,Gabonak (24-31),Laborable,2,28,56,14,28,14,28
91,2025,A3122,BILBAO - SESTAO - Errepelega/Repelega,Gabonak (25 -1),Festivo,2,20,40,10,20,10,20
92,2025,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,Negua,Festivo,57,63,3591,32,1824,31,1767
93,2025,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,Negua,Laborable,228,130,29640,65,14820,65,14820
94,2025,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,Negua,Sabado,45,130,5850,65,2925,65,2925
95,2025,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,Uda,Festivo,6,63,378,32,192,31,186
96,2025,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,Uda,Laborable,20,68,1360,35,700,33,660
97,2025,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,Uda,Sabado,5,67,335,34,170,33,165
98,2025,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,Gabonak (24-31),Laborable,2,111,222,56,112,55,110
99,2025,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,Gabonak (25 -1),Festivo,2,41,82,21,42,20,40
100,2025,A3135,SESTAO - Cabieces,Negua,Festivo,51,93,4743,46,2346,47,2397
101,2025,A3135,SESTAO - Cabieces,Negua,Laborable,207,128,26496,64,13248,64,13248
102,2025,A3135,SESTAO - Cabieces,Negua,Sabado,41,128,5248,64,2624,64,2624
103,2025,A3135,SESTAO - Cabieces,Uda,Festivo,12,93,1116,47,564,46,552
104,2025,A3135,SESTAO - Cabieces,Uda,Laborable,41,128,5248,64,2624,64,2624
105,2025,A3135,SESTAO - Cabieces,Uda,Sabado,9,97,873,49,441,48,432
106,2025,A3135,SESTAO - Cabieces,Gabonak (24-31),Laborable,2,109,218,56,112,53,106
107,2025,A3135,SESTAO - Cabieces,Gabonak (25 -1),Festivo,2,60,120,29,58,31,62
108,2025,A3136,BILBAO - BARAKALDO - SANTURTZI,Bakarra,Festivo,63,79,4977,39,2457,40,2520
109,2025,A3136,BILBAO - BARAKALDO - SANTURTZI,Bakarra,Laborable,248,82,20336,41,10168,41,10168
110,2025,A3136,BILBAO - BARAKALDO - SANTURTZI,Bakarra,Sabado,50,82,4100,41,2050,41,2050
111,2025,A3136,BILBAO - BARAKALDO - SANTURTZI,Gabonak (24-31),Laborable,2,63,126,32,64,31,62
112,2025,A3136,BILBAO - BARAKALDO - SANTURTZI,Gabonak (25 -1),Festivo,2,54,108,30,60,24,48
113,2025,A3137,BILBAO - BARAKALDO,Bakarra,Festivo,63,54,3402,28,1764,26,1638
114,2025,A3137,BILBAO - BARAKALDO,Bakarra,Laborable,248,64,15872,32,7936,32,7936
115,2025,A3137,BILBAO - BARAKALDO,Bakarra,Sabado,50,64,3200,32,1600,32,1600
116,2025,A3137,BILBAO - BARAKALDO,Gabonak (24-31),Laborable,2,54,108,27,54,27,54
117,2025,A3137,BILBAO - BARAKALDO,Gabonak (25 -1),Festivo,2,39,78,21,42,18,36
118,2025,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,Bakarra,Festivo,63,33,2079,16,1008,17,1071
